,Group
BP24_NODE_3423_length_606_cov_0_150515,Low coverage
BP24_NODE_3463_length_603_cov_0_201245,Low coverage
BP24_NODE_3521_length_597_cov_0_342437,Low coverage
BP24_NODE_3535_length_596_cov_0_355789,Low coverage
BP24_NODE_3540_length_596_cov_0_223158,Low coverage
BP24_NODE_3541_length_596_cov_0_117895,Low coverage
BP24_NODE_3548_length_595_cov_0_356540,Low coverage
BP24_NODE_3584_length_592_cov_0_244161,Low coverage
BP24_NODE_3593_length_591_cov_0_344681,Low coverage
BP24_NODE_3604_length_591_cov_0_129787,Low coverage
BP24_NODE_3645_length_588_cov_0_175589,Low coverage
BP24_NODE_3655_length_587_cov_0_495708,Low coverage
BP24_NODE_3657_length_587_cov_0_298283,Low coverage
BP24_NODE_3664_length_587_cov_0_107296,Low coverage
BP24_NODE_3667_length_586_cov_0_462366,Low coverage
BP24_NODE_3756_length_580_cov_0_705882,Low coverage
BP24_NODE_3758_length_580_cov_0_368192,Low coverage
BP24_NODE_3810_length_577_cov_0_296053,Low coverage
BP24_NODE_3818_length_577_cov_0_118421,Low coverage
BP24_NODE_3842_length_575_cov_0_273128,Low coverage
BP24_NODE_3855_length_575_cov_0_092511,Low coverage
BP24_NODE_3937_length_569_cov_0_462054,Low coverage
BP24_NODE_3946_length_569_cov_0_229911,Low coverage
BP24_NODE_3968_length_568_cov_0_118568,Low coverage
BP24_NODE_3979_length_567_cov_0_284753,Low coverage
BP24_NODE_4006_length_565_cov_0_117117,Low coverage
BP24_NODE_4069_length_561_cov_0_281818,Low coverage
BP24_NODE_4071_length_561_cov_0_206818,Low coverage
BP24_NODE_4080_length_560_cov_0_407745,Low coverage
BP24_NODE_4108_length_559_cov_0_340183,Low coverage
BP24_NODE_4111_length_559_cov_0_299087,Low coverage
BP24_NODE_4140_length_558_cov_0_121281,Low coverage
BP24_NODE_4165_length_556_cov_0_236782,Low coverage
BP24_NODE_4176_length_556_cov_0_066667,Low coverage
BP24_NODE_4189_length_555_cov_0_184332,Low coverage
BP24_NODE_4217_length_553_cov_0_314815,Low coverage
BP24_NODE_4222_length_553_cov_0_192130,High coverage
BP24_NODE_4281_length_549_cov_0_320093,Low coverage
BP24_NODE_4289_length_549_cov_0_154206,Low coverage
BP24_NODE_4297_length_548_cov_0_377049,Low coverage
BP24_NODE_4322_length_547_cov_0_246479,Low coverage
BP24_NODE_4348_length_546_cov_0_103529,Low coverage
BP24_NODE_4366_length_545_cov_0_089623,Low coverage
BP24_NODE_4409_length_542_cov_0_209026,Low coverage
BP24_NODE_4427_length_541_cov_0_335714,Low coverage
BP24_NODE_4460_length_540_cov_0_045346,Low coverage
BP24_NODE_4548_length_536_cov_0_077108,Low coverage
BP24_NODE_4568_length_535_cov_0_132850,Low coverage
BP24_NODE_4597_length_533_cov_0_376214,Low coverage
BP24_NODE_4651_length_531_cov_0_324390,Low coverage
BP24_NODE_4708_length_528_cov_0_562654,Low coverage
BP24_NODE_4725_length_528_cov_0_213759,Low coverage
BP24_NODE_4734_length_527_cov_0_293103,Low coverage
BP24_NODE_4768_length_526_cov_0_091358,Low coverage
BP24_NODE_4785_length_525_cov_0_222772,Low coverage
BP24_NODE_4797_length_524_cov_0_285360,Low coverage
BP24_NODE_4800_length_524_cov_0_245658,Low coverage
BP24_NODE_4801_length_524_cov_0_230769,Low coverage
BP24_NODE_4817_length_523_cov_0_268657,Low coverage
BP24_NODE_4827_length_523_cov_0_124378,Low coverage
BP24_NODE_4850_length_522_cov_0_182045,Low coverage
BP24_NODE_4852_length_522_cov_0_174564,Low coverage
BP24_NODE_4887_length_520_cov_0_360902,Low coverage
BP24_NODE_4895_length_520_cov_0_230576,Low coverage
BP24_NODE_4916_length_519_cov_0_256281,Low coverage
BP24_NODE_4920_length_519_cov_0_246231,Low coverage
BP24_NODE_4965_length_517_cov_0_257576,Low coverage
BP24_NODE_4976_length_517_cov_0_136364,Low coverage
BP24_NODE_4983_length_516_cov_0_600000,Low coverage
BP24_NODE_4993_length_516_cov_0_174684,Low coverage
BP24_NODE_5000_length_515_cov_0_398477,Low coverage
BP24_NODE_5040_length_514_cov_0_155216,Low coverage
BP24_NODE_5083_length_512_cov_0_378517,Low coverage
BP24_NODE_5095_length_512_cov_0_107417,Low coverage
BP24_NODE_5188_length_507_cov_0_272021,Low coverage
BP24_NODE_5250_length_505_cov_0_250000,Low coverage
BP24_NODE_5261_length_505_cov_0_072917,Low coverage
BP24_NODE_5313_length_503_cov_0_115183,Low coverage
BP24_NODE_5315_length_503_cov_0_086387,Low coverage
BP24_NODE_5336_length_502_cov_0_217848,Low coverage
BP24_NODE_5345_length_502_cov_0_128609,Low coverage
BP25_NODE_10_length_8434_cov_4_405389,High coverage
BP25_NODE_16_length_3821_cov_3_338649,High coverage
BP25_NODE_44_length_1587_cov_0_380628,Low coverage
BP26_NODE_2_length_5618_cov_0_902674,High coverage
BP26_NODE_11_length_3380_cov_0_599264,High coverage
BP26_NODE_12_length_3357_cov_1_053770,High coverage
BP26_NODE_227_length_660_cov_0_243043,Low coverage
BP26_NODE_292_length_563_cov_0_712670,High coverage
BP27_NODE_4_length_8560_cov_1_657424,High coverage
BP27_NODE_6_length_8432_cov_1_708940,High coverage
BP27_NODE_7_length_6885_cov_2_187611,High coverage
BP27_NODE_10_length_4612_cov_1_529503,High coverage
BP27_NODE_11_length_4545_cov_1_663427,High coverage
BP27_NODE_12_length_4472_cov_1_362445,High coverage
BP27_NODE_13_length_4369_cov_1_778249,High coverage
BP27_NODE_14_length_4275_cov_1_180549,High coverage
BP27_NODE_15_length_4204_cov_2_194710,High coverage
BP27_NODE_18_length_4005_cov_1_960093,High coverage
BP27_NODE_19_length_3557_cov_1_442957,High coverage
BP27_NODE_20_length_3464_cov_1_303320,High coverage
BP27_NODE_23_length_3308_cov_1_118921,High coverage
BP27_NODE_25_length_3136_cov_2_776783,High coverage
BP27_NODE_26_length_3121_cov_0_660333,Low coverage
BP27_NODE_30_length_2658_cov_1_298384,High coverage
BP27_NODE_35_length_2560_cov_0_783108,High coverage
BP27_NODE_37_length_2469_cov_1_006388,High coverage
BP27_NODE_38_length_2467_cov_0_859761,High coverage
BP27_NODE_60_length_2040_cov_1_169880,High coverage
BP27_NODE_61_length_2029_cov_2_614256,High coverage
BP27_NODE_66_length_1942_cov_1_692477,High coverage
BP27_NODE_86_length_1640_cov_0_861751,Low coverage
BP27_NODE_88_length_1602_cov_2_106685,High coverage
BP27_NODE_94_length_1584_cov_1_448394,High coverage
BP27_NODE_95_length_1569_cov_0_676105,Low coverage
BP27_NODE_150_length_1241_cov_1_017857,High coverage
BP27_NODE_162_length_1175_cov_0_495256,Low coverage
BP27_NODE_185_length_1099_cov_0_506135,Low coverage
BP27_NODE_308_length_789_cov_0_950599,High coverage
BP27_NODE_320_length_771_cov_0_556923,Low coverage
BP27_NODE_400_length_652_cov_0_521657,Low coverage
BP27_NODE_454_length_604_cov_0_546584,Low coverage
BP27_NODE_551_length_533_cov_0_451456,Low coverage
BP28_NODE_2_length_3013_cov_1_036653,High coverage
BP28_NODE_3_length_2591_cov_1_015385,High coverage
BP29_NODE_10_length_1989_cov_0_659529,High coverage
BP2_NODE_1_length_19461_cov_9_569286,High modularity 0
BP2_NODE_3_length_5271_cov_5_235728,High coverage
BP2_NODE_41_length_1412_cov_1_468629,High coverage
BP2_NODE_67_length_1157_cov_0_599421,High coverage
BP2_NODE_171_length_781_cov_0_239394,Low coverage
BP2_NODE_188_length_738_cov_0_288493,Low coverage
BP30_NODE_3_length_5166_cov_1_346878,High coverage
BP30_NODE_7_length_3568_cov_1_809109,High coverage
BP30_NODE_9_length_3503_cov_1_279420,High coverage
BP31_NODE_2_length_8296_cov_2_699817,High coverage
BP31_NODE_5_length_5159_cov_0_723104,High coverage
BP31_NODE_15_length_3196_cov_1_176585,High coverage
BP31_NODE_16_length_3164_cov_1_324022,High coverage
BP31_NODE_17_length_3075_cov_0_704469,High coverage
BP31_NODE_47_length_1759_cov_0_551282,High coverage
BP31_NODE_60_length_1501_cov_0_402174,Low coverage
BP31_NODE_104_length_1189_cov_0_691011,High coverage
BP32_NODE_2_length_41333_cov_117_683684,High modularity 0
BP32_NODE_12_length_6143_cov_5_864995,High coverage
BP32_NODE_42_length_1854_cov_0_832660,Low coverage
BP32_NODE_45_length_1809_cov_0_850118,High coverage
BP32_NODE_63_length_1614_cov_0_432016,Low coverage
BP32_NODE_88_length_1289_cov_0_660959,Low coverage
BP32_NODE_110_length_1087_cov_0_731884,Low coverage
BP32_NODE_119_length_1065_cov_0_685381,Low coverage
BP32_NODE_134_length_1017_cov_0_354911,Low coverage
BP32_NODE_135_length_1015_cov_1_238255,Low coverage
BP32_NODE_140_length_993_cov_0_220183,Low coverage
BP32_NODE_141_length_990_cov_0_886076,High coverage
BP32_NODE_155_length_914_cov_0_769231,Low coverage
BP32_NODE_156_length_914_cov_0_374527,Low coverage
BP32_NODE_230_length_708_cov_0_398637,Low coverage
BP32_NODE_238_length_694_cov_0_331588,Low coverage
BP32_NODE_287_length_611_cov_0_281633,Low coverage
BP32_NODE_326_length_576_cov_0_213187,Low coverage
BP33_NODE_2_length_30045_cov_21_759190,High modularity 0
BP33_NODE_3_length_28874_cov_15_162731,High modularity 2
BP33_NODE_4_length_28800_cov_2_678789,High modularity 0
BP33_NODE_5_length_18448_cov_6_639330,High modularity 0
BP33_NODE_6_length_13276_cov_4_973090,High modularity 2
BP33_NODE_7_length_11504_cov_3_213125,High modularity 0
BP33_NODE_8_length_9270_cov_1_144934,Low coverage
BP33_NODE_9_length_8845_cov_2_462288,High coverage
BP33_NODE_12_length_7989_cov_2_488434,High coverage
BP33_NODE_13_length_7921_cov_14_790128,High coverage
BP33_NODE_15_length_7561_cov_5_364382,High coverage
BP33_NODE_16_length_7246_cov_15_103579,High coverage
BP33_NODE_19_length_6245_cov_1_955748,High coverage
BP33_NODE_20_length_6003_cov_8_435056,High coverage
BP33_NODE_27_length_3992_cov_1_944200,Low coverage
BP33_NODE_33_length_3629_cov_1_425314,Low coverage
BP33_NODE_38_length_3377_cov_1_387899,Low coverage
BP33_NODE_39_length_3372_cov_2_232851,Low coverage
BP33_NODE_42_length_3200_cov_1_336798,Low coverage
BP33_NODE_61_length_2438_cov_1_296504,Low coverage
BP33_NODE_75_length_2173_cov_1_061891,Low coverage
BP33_NODE_77_length_2115_cov_1_992979,Low coverage
BP33_NODE_78_length_2112_cov_1_536414,Low coverage
BP33_NODE_84_length_2048_cov_1_411002,Low coverage
BP33_NODE_85_length_2032_cov_1_015175,Low coverage
BP33_NODE_89_length_1973_cov_0_816415,Low coverage
BP33_NODE_110_length_1671_cov_0_356129,Low coverage
BP33_NODE_124_length_1524_cov_1_963649,Low coverage
BP33_NODE_148_length_1376_cov_0_808765,Low coverage
BP33_NODE_174_length_1221_cov_0_776364,High coverage
BP33_NODE_177_length_1205_cov_5_273985,High coverage
BP33_NODE_229_length_979_cov_0_428904,Low coverage
BP33_NODE_239_length_970_cov_0_180212,Low coverage
BP33_NODE_263_length_911_cov_0_473418,Low coverage
BP33_NODE_395_length_680_cov_0_388193,Low coverage
BP33_NODE_406_length_669_cov_0_251825,Low coverage
BP33_NODE_457_length_626_cov_0_358416,Low coverage
BP33_NODE_531_length_570_cov_0_171492,Low coverage
BP33_NODE_637_length_516_cov_0_169620,Low coverage
BP33_NODE_645_length_513_cov_0_316327,Low coverage
BP34_NODE_4_length_5102_cov_4_094359,High coverage
BP34_NODE_10_length_3525_cov_0_906874,High coverage
BP34_NODE_61_length_947_cov_0_277240,High coverage
BP34_NODE_69_length_882_cov_0_411301,High coverage
BP34_NODE_101_length_754_cov_0_048973,High coverage
BP34_NODE_120_length_651_cov_0_100000,High coverage
BP34_NODE_202_length_507_cov_0_409326,High coverage
BP34_NODE_206_length_502_cov_0_288714,High coverage
BP35_NODE_1_length_10513_cov_4_059950,High modularity 0
BP35_NODE_2_length_10276_cov_7_161595,High modularity 0
BP35_NODE_3_length_9933_cov_4_533530,High coverage
BP35_NODE_6_length_6339_cov_5_192666,High coverage
BP35_NODE_10_length_5818_cov_2_933123,High coverage
BP35_NODE_12_length_5070_cov_10_152152,High coverage
BP35_NODE_17_length_3472_cov_2_980006,High coverage
BP35_NODE_20_length_3371_cov_1_262769,High coverage
BP35_NODE_25_length_3250_cov_0_930329,Low coverage
BP35_NODE_34_length_2456_cov_2_029550,High coverage
BP35_NODE_51_length_1927_cov_0_784053,High coverage
BP35_NODE_83_length_1507_cov_0_972583,High coverage
BP35_NODE_101_length_1345_cov_0_883170,High coverage
BP35_NODE_163_length_995_cov_0_474828,Low coverage
BP35_NODE_246_length_761_cov_0_582812,Low coverage
BP35_NODE_258_length_729_cov_2_541118,High coverage
BP35_NODE_290_length_684_cov_0_193606,Low coverage
BP35_NODE_375_length_556_cov_0_151724,Low coverage
BP35_NODE_411_length_528_cov_0_631450,High coverage
BP3_NODE_5_length_10723_cov_40_207602,High modularity 0
BP3_NODE_6_length_7258_cov_2_441782,Low coverage
BP3_NODE_7_length_7155_cov_20_092977,High coverage
BP3_NODE_11_length_5694_cov_3_924816,Low coverage
BP3_NODE_15_length_4596_cov_3_979218,High coverage
BP3_NODE_16_length_4554_cov_14_064065,High coverage
BP3_NODE_20_length_3931_cov_2_478478,Low coverage
BP3_NODE_24_length_3434_cov_4_547540,High coverage
BP3_NODE_31_length_2944_cov_0_838115,High coverage
BP3_NODE_38_length_2702_cov_1_339791,High coverage
BP3_NODE_80_length_1548_cov_3_035739,Low coverage
BP3_NODE_126_length_1122_cov_1_556444,Low coverage
BP3_NODE_185_length_885_cov_0_482984,High coverage
BP3_NODE_343_length_640_cov_0_113680,Low coverage
BP3_NODE_413_length_590_cov_0_151386,Low coverage
BP3_NODE_440_length_579_cov_0_163755,Low coverage
BP40_NODE_13_length_3867_cov_1_835024,High coverage
BP40_NODE_14_length_3755_cov_1_211613,High coverage
BP40_NODE_39_length_1951_cov_1_816393,High coverage
BP40_NODE_100_length_1141_cov_0_772549,High coverage
BP40_NODE_103_length_1067_cov_1_116279,High coverage
BP40_NODE_108_length_1016_cov_0_665922,High coverage
BP41_NODE_1_length_49648_cov_4_244654,High modularity 0
BP41_NODE_9_length_8018_cov_3_118526,High coverage
BP41_NODE_11_length_7469_cov_1_560833,High coverage
BP41_NODE_21_length_4545_cov_1_049277,High coverage
BP41_NODE_24_length_4147_cov_1_379285,High coverage
BP41_NODE_25_length_4131_cov_4_128180,High coverage
BP41_NODE_35_length_2333_cov_0_440778,High coverage
BP41_NODE_46_length_1930_cov_0_553897,High coverage
BP41_NODE_83_length_1366_cov_1_631325,High coverage
BP41_NODE_101_length_1244_cov_0_388246,High coverage
BP41_NODE_143_length_977_cov_0_358645,High coverage
BP41_NODE_220_length_761_cov_0_676562,High coverage
BP43_NODE_1_length_23639_cov_6_635641,High modularity 2
BP43_NODE_2_length_7844_cov_6_192024,High coverage
BP43_NODE_3_length_6557_cov_1_912057,High coverage
BP43_NODE_6_length_5058_cov_0_992303,High coverage
BP43_NODE_10_length_3827_cov_6_260389,High coverage
BP43_NODE_11_length_3778_cov_2_006016,High coverage
BP43_NODE_17_length_2746_cov_8_457143,High coverage
BP43_NODE_19_length_2442_cov_0_986644,High coverage
BP43_NODE_23_length_2378_cov_1_819672,High coverage
BP43_NODE_31_length_2005_cov_1_496285,High coverage
BP43_NODE_46_length_1609_cov_0_536962,Low coverage
BP43_NODE_110_length_982_cov_0_461092,Low coverage
BP43_NODE_357_length_532_cov_0_199513,Low coverage
BP44_NODE_2_length_4288_cov_0_978882,High coverage
BP44_NODE_5_length_3908_cov_0_687087,High coverage
BP44_NODE_19_length_2634_cov_0_952646,High coverage
BP44_NODE_93_length_989_cov_0_804147,High coverage
BP44_NODE_139_length_767_cov_0_270898,High coverage
BP44_NODE_253_length_522_cov_0_536160,High coverage
BP44_NODE_257_length_517_cov_0_621212,High coverage
BP45_NODE_2_length_11591_cov_2_429730,High modularity 0
BP45_NODE_5_length_6400_cov_1_856187,High coverage
BP45_NODE_6_length_6188_cov_1_293226,High coverage
BP45_NODE_10_length_4407_cov_1_507933,High coverage
BP45_NODE_13_length_3852_cov_1_042080,High coverage
BP45_NODE_15_length_3626_cov_0_735235,High coverage
BP45_NODE_21_length_2706_cov_0_548162,High coverage
BP45_NODE_33_length_1791_cov_0_773054,High coverage
BP45_NODE_40_length_1636_cov_0_721452,High coverage
BP45_NODE_54_length_1336_cov_1_594239,High coverage
BP45_NODE_83_length_1010_cov_0_967379,High coverage
BP45_NODE_84_length_1000_cov_1_062571,High coverage
BP46_NODE_1_length_39830_cov_6_667028,High modularity 2
BP46_NODE_4_length_7839_cov_1_018269,High coverage
BP46_NODE_5_length_7786_cov_3_526810,High coverage
BP46_NODE_9_length_5932_cov_1_514713,High coverage
BP46_NODE_10_length_5845_cov_1_941999,High coverage
BP46_NODE_11_length_5731_cov_2_126381,High coverage
BP46_NODE_13_length_5218_cov_0_724544,Low coverage
BP46_NODE_14_length_4911_cov_2_442380,High coverage
BP46_NODE_15_length_4608_cov_1_644083,High coverage
BP46_NODE_16_length_4526_cov_0_819069,Low coverage
BP46_NODE_17_length_4271_cov_2_341928,High coverage
BP46_NODE_22_length_3521_cov_0_960882,Low coverage
BP46_NODE_25_length_3331_cov_1_619626,High coverage
BP46_NODE_28_length_3088_cov_1_130772,High coverage
BP46_NODE_29_length_3047_cov_2_180109,High coverage
BP46_NODE_32_length_2825_cov_0_526997,Low coverage
BP46_NODE_33_length_2810_cov_2_659725,High coverage
BP46_NODE_35_length_2730_cov_0_451514,Low coverage
BP46_NODE_42_length_2568_cov_1_828361,High coverage
BP46_NODE_45_length_2414_cov_0_375491,Low coverage
BP46_NODE_46_length_2413_cov_0_876527,Low coverage
BP46_NODE_47_length_2373_cov_1_864121,High coverage
BP46_NODE_56_length_2283_cov_0_437095,Low coverage
BP46_NODE_65_length_2142_cov_0_628402,Low coverage
BP46_NODE_72_length_2055_cov_0_770424,Low coverage
BP46_NODE_76_length_2031_cov_0_501047,Low coverage
BP46_NODE_78_length_2008_cov_1_072602,High coverage
BP46_NODE_84_length_1946_cov_2_669041,High coverage
BP46_NODE_103_length_1747_cov_0_464330,Low coverage
BP46_NODE_120_length_1644_cov_0_537098,High coverage
BP46_NODE_135_length_1501_cov_0_757971,High coverage
BP46_NODE_140_length_1470_cov_0_857672,Low coverage
BP46_NODE_199_length_1223_cov_0_436479,Low coverage
BP46_NODE_234_length_1111_cov_0_694949,Low coverage
BP46_NODE_438_length_733_cov_0_169935,Low coverage
BP46_NODE_599_length_616_cov_0_202020,Low coverage
BP46_NODE_680_length_573_cov_0_672566,Low coverage
BP46_NODE_741_length_544_cov_0_196217,Low coverage
BP46_NODE_771_length_528_cov_0_336609,Low coverage
BP46_NODE_847_length_501_cov_0_313158,Low coverage
BP47_NODE_10_length_2006_cov_0_446154,High coverage
BP47_NODE_14_length_1700_cov_0_587080,High coverage
BP48_NODE_1_length_11486_cov_2_240915,High modularity 2
BP48_NODE_3_length_8991_cov_2_700000,High coverage
BP48_NODE_5_length_6456_cov_1_705762,High coverage
BP48_NODE_6_length_5493_cov_2_112621,High coverage
BP48_NODE_7_length_5489_cov_1_330663,High coverage
BP48_NODE_11_length_4828_cov_1_932016,High coverage
BP48_NODE_13_length_4731_cov_1_382863,High coverage
BP48_NODE_14_length_4727_cov_3_351498,High coverage
BP48_NODE_17_length_3629_cov_1_165051,High coverage
BP48_NODE_70_length_1318_cov_0_526316,High coverage
BP49_NODE_1_length_65331_cov_17_543582,High modularity 0
BP49_NODE_2_length_32306_cov_7_451888,High modularity 0
BP49_NODE_3_length_32202_cov_5_285465,High modularity 0
BP49_NODE_4_length_25564_cov_9_867154,High modularity 2
BP49_NODE_6_length_13426_cov_7_108305,High modularity 1
BP49_NODE_8_length_10567_cov_3_319070,High modularity 0
BP49_NODE_11_length_9320_cov_2_263833,High coverage
BP49_NODE_13_length_7050_cov_0_714966,Low coverage
BP49_NODE_17_length_6293_cov_5_658296,High coverage
BP49_NODE_18_length_5682_cov_0_944974,High coverage
BP49_NODE_19_length_5667_cov_0_793725,High coverage
BP49_NODE_20_length_5591_cov_0_722121,High coverage
BP49_NODE_22_length_5096_cov_7_091457,High coverage
BP49_NODE_26_length_4749_cov_1_444685,High coverage
BP49_NODE_28_length_4633_cov_1_210106,Low coverage
BP49_NODE_29_length_4608_cov_0_782483,High coverage
BP49_NODE_39_length_3621_cov_1_270000,High coverage
BP49_NODE_52_length_3011_cov_0_675779,Low coverage
BP49_NODE_53_length_2982_cov_0_599091,High coverage
BP49_NODE_61_length_2679_cov_0_581314,Low coverage
BP49_NODE_67_length_2581_cov_2_686585,High coverage
BP49_NODE_69_length_2545_cov_1_295792,Low coverage
BP49_NODE_71_length_2515_cov_1_458647,High coverage
BP49_NODE_74_length_2493_cov_0_750843,Low coverage
BP49_NODE_80_length_2386_cov_0_604415,High coverage
BP49_NODE_87_length_2223_cov_0_771170,Low coverage
BP49_NODE_94_length_2136_cov_1_065509,Low coverage
BP49_NODE_98_length_2070_cov_0_956388,Low coverage
BP49_NODE_113_length_1960_cov_0_666667,Low coverage
BP49_NODE_115_length_1957_cov_0_443355,Low coverage
BP49_NODE_134_length_1751_cov_0_571166,Low coverage
BP49_NODE_136_length_1743_cov_0_479655,Low coverage
BP49_NODE_143_length_1712_cov_0_486486,Low coverage
